antid,tns_name,tns_class,tns_redshift,superphot_plus_class_prob,ra,dec,peak_mag,peak_phase,superphot_plus_classifier,superphot_plus_sampler,superphot_plus_class,host_sep_arcsec,host_name,host_redshift,host_redshift_type,posted_before
ANT2025ue8s101sn69x,2025acj,SN Ia,0.04712,0.454,195.5398065,3.104163974482546,17.802200317382812,5.109603704717301,early_lightgbm_12_2024,svi,SN II,20.3027283856422,CGCG 043-105,0.047188,SPEC,False
ANT20252errpy946dbb,2025arb,SN Ia,0.02635,0.469,136.99827688040375,41.20915083015545,16.855615615844727,0.1349518985516624,early_lightgbm_12_2024,svi,SN II,2.3570200234731047,WISEA J090759.69+411229.7,0.02635,SPEC,False
ANT20253c5ns42olf2n,2025acu,SN Ia,0.029,0.423,158.3589315,1.84142080237487,16.312692642211914,0.1187365983641939,early_lightgbm_12_2024,svi,SN II,24.852800853180945,SDSS J103324.82+015043.9,0.5936150457959741,PHOT,False
ANT2025ky1mg2m2gjco,2025azi,SN Ia,0.082,0.658,230.0837496698894,10.78553649325103,18.453332901000977,0.0168184537105844,early_lightgbm_12_2024,svi,SN II,5.683909782543756,WISEA J152020.15+104713.5,0.085798,SPEC,False
ANT2025k40je2t7dk3i,2025bei,---,,0.444,175.74651629072162,-16.79576865823205,16.164384841918945,0.1057082317420281,early_lightgbm_12_2024,svi,SN II,1.6444995497466874,WISEA J114259.07-164747.5,0.029892,SPEC,False
ANT2025ealzghq69oy8,2025awg,---,,0.821,136.74321350410173,22.22595607808464,18.474424362182617,0.1512995026787393,early_lightgbm_12_2024,svi,SN Ibc,3.653061400144151,GALEXASC J090658.18+221331.7,0.1393329124168258,PHOT,False
ANT2025p7gxd8bsjyc0,2025bag,SN Ia,0.032,0.713,154.61377666839388,-26.73289302960877,16.553485870361328,1.123081902951526,early_lightgbm_12_2024,svi,SN II,2.526831572193704,2MASX J10182722-2643567,0.030905,SPEC,False
ANT2025voj6knquv1e1,2025ard,SN Ia,0.0478,0.552,119.26475158722108,22.522240776697345,17.77016258239746,1.287537903037446,early_lightgbm_12_2024,svi,SN Ibc,4.130302664044563,CGCG 118-025,0.047833,SPEC,False
ANT2025bmp680sdehku,2025azh,SN Ia,0.056,0.503,116.90005,5.625724599999998,18.052040100097656,1.2438805028577915,early_lightgbm_12_2024,svi,SN II,1.366018005434987,GALEXASC J074736.05+053730.0,0.2979935798946327,PHOT,False
ANT2025hjhfcz4a9gpg,2025bol,---,,0.502,62.4765104,-12.412845013526947,17.256162643432617,0.4239268027959042,early_lightgbm_12_2024,svi,SN II,0.5923250117394049,,0.5396770095891347,PHOT,False
ANT2025ilgbsve3qja1,2025aph,SN II,0.022,0.428,37.98288351738397,3.522226472561769,17.668357849121094,0.4225147031029337,early_lightgbm_12_2024,svi,SN II,2.1080486880624045,WISEA J023155.97+033121.4,0.0801502068494972,PHOT,False
ANT20254irpno7fbwy6,2025bod,---,,0.422,83.06112628219894,-19.090858525752186,18.301958084106445,2.284771702696162,early_lightgbm_12_2024,svi,SN II,14.42055391390506,WISEA J053215.56-190534.8,0.085066,SPEC,False
ANT20250cn90sl6cnmp,2025apl,SN Ia,0.04,0.416,144.13909455000004,-5.110317550000005,17.538480758666992,7.135292503029632,early_lightgbm_12_2024,svi,SN II,17.38290455949202,PSO J093632.444-050626.912,0.3025348808003527,PHOT,False
ANT2025jqv1nsybpjni,2025aot,SN Ic,0.02183,0.756,151.8057375,2.9031239665452944,17.831253051757812,0.2043089565486298,early_lightgbm_12_2024,svi,SN Ibc,4.449588081770283,[EKL2017] ECO 5514,0.021363,SPEC,False
ANT2025dcqioe7c0e2y,2025ail,---,,0.685,133.25637774092206,41.82464923381295,18.175573348999023,0.2789038565606461,early_lightgbm_12_2024,svi,SN II,2.905865672871073,SDSS J085301.74+414927.1,0.042596,SPEC,False
ANT2025g5rvwtyrgflr,---,---,,0.5,106.32832238910004,58.14432422722045,18.44036674499512,0.3505936564542935,early_lightgbm_12_2024,svi,SN II,0.958696768024716,WISEA J070518.98+580839.1,0.1083333333337215,PHOT,False
ANT2025zsenwxl95b0w,2025ayo,SN Ia,0.052,0.427,210.69239854999995,-2.0855054787451763,18.126903533935547,4.051670056454896,early_lightgbm_12_2024,svi,SN II,8.946474599345155,WISEA J140246.54-020500.9,0.051173,SPEC,False
ANT2025xmj9lacbigol,2025asr,SN Ia,0.04,0.419,237.4983199858208,17.415737815614904,16.9124813079834,4.014459356818406,early_lightgbm_12_2024,svi,SN II,30.81556212317322,WISEA J154957.42+172458.2,0.3872699503464763,PHOT,False
ANT2025btu34ywtc47v,---,---,,0.414,108.1129122,50.29321430000002,18.35136604309082,0.3990542564206407,early_lightgbm_12_2024,svi,SN Ibc,,,,PHOT,False
ANT2025126xyn9r51se,2025atg,---,,0.576,192.57508427257943,14.410103378423456,18.281694412231445,3.206270622795273,early_lightgbm_12_2024,svi,SN II,1.1266590088702972,SDSS J125017.99+142437.4,0.1441490300882062,PHOT,False
ANT202544tqeax6gvy7,2025azl,SN IIb,0.02,0.404,195.98289351961216,-20.942297412547006,17.63871955871582,0.1841294227706384,early_lightgbm_12_2024,svi,SN Ibc,12.48313731937202,WISEA J130355.04-205635.2,0.0368304662099485,PHOT,False
ANT2025j5ptbie5rvaj,2025arz,---,,0.448,151.70233761328444,39.53041630722888,17.848012924194336,2.28572249050194,early_lightgbm_12_2024,svi,SN II,34.214802111504405,WISEA J100645.80+393202.7,0.2967045894358093,PHOT,False
ANT20257gdjsdb8bok4,2025bvs,---,,0.438,272.5405626067705,50.25002766764694,18.02128028869629,0.0529562906449427,early_lightgbm_12_2024,svi,SN II,20.40919355159957,WISEA J181008.30+501444.3,0.054142,SPEC,False
ANT2025a0h600hbim8a,2025bzk,---,,0.404,255.06616713833705,36.22638594219979,17.976085662841797,2.0914400905458024,early_lightgbm_12_2024,svi,SN II,3.316953288879852,WISEA J170016.13+361336.1,0.073793,SPEC,False
ANT20256ql7ndtaexm9,2025cac,---,,0.63,199.21200270000003,-3.0576308195564508,17.48019790649414,0.1292597539431881,early_lightgbm_12_2024,svi,SN II,20.948695128049778,CGCG 016-038 NED01,0.04768,SPEC,False
ANT2025d9cxwedw713l,2025boh,---,,0.585,45.81833465000001,-2.348073333906868,18.012216567993164,0.4189241537533235,early_lightgbm_12_2024,svi,SN II,3.505075408135649,WISEA J030316.25-022055.4,0.1265073490032557,PHOT,False
ANT2025ky3d8ji8k1n1,2025bvg,---,,0.537,173.48266315,1.637608656329391,18.05795669555664,4.141875553847058,early_lightgbm_12_2024,svi,SN II,3.033685409685609,2MASX J11335592+0138126,0.073906,SPEC,False
ANT2025ghbxrk74c0ur,---,---,,0.516,235.5124204,-19.47902560000001,11.14108657836914,5.024167153955204,early_lightgbm_12_2024,svi,SN Ibc,8.366580587163986,PSO J154203.549-192846.932,0.3112242020579107,PHOT,False
ANT2025qy0ic7ksn8dj,---,---,,0.465,209.1987163,-13.42134680000001,17.978321075439453,0.0763546540110837,early_lightgbm_12_2024,svi,SN Ibc,6.990250711538231,,0.503937908489831,PHOT,False
ANT2025ea4ob5fk7aud,2025bvc,---,,0.452,150.80452808120648,9.595449951301418,18.3945255279541,0.2102782539732288,early_lightgbm_12_2024,svi,SN II,1.5788102425139838,2MASS J10031312+0935447,0.077991,SPEC,False
ANT2025q56lnmnbe1a2,---,---,,0.665,271.2270787411045,39.68061254590455,18.22374153137207,0.037685348681407,early_lightgbm_12_2024,svi,SN Ibc,11.02831263997106,2MASS J18045425+3940395,0.0849157446576987,PHOT,False
ANT2025kf9exnh34ymi,2025buw,---,,0.595,85.4683241888324,62.90781403706242,18.142662048339844,4.349676048877882,early_lightgbm_12_2024,svi,SN II,9.064105335874451,PSO J054151.773+625436.146,0.1139385041336132,PHOT,False
ANT2025r24q78e8suww,2025aue,SN Ia-91T-like,0.019,0.573,64.62663820109367,33.77111156573143,15.644068717956545,2.3366552489169408,early_lightgbm_12_2024,svi,SN II,8.997671097012745,2MASS J04183048+3346250,,PHOT,False
ANT2025pzpe1snbjuy7,2025baq,SN Iax[02cx-like],0.025,0.541,215.574552367754,50.50837490508925,17.448400497436523,6.091551048710244,early_lightgbm_12_2024,svi,SN II,29.26768676015657,PSO J142218.836+503004.951,0.0255284778683885,PHOT,False
ANT2025jnb3bwd5txiv,2025bbw,SN Ia,0.081,0.538,230.260664893914,33.09477588843689,18.21800994873047,4.119525648682611,early_lightgbm_12_2024,svi,SN II,2.06531654614114,WISEA J152102.45+330539.6,0.1915636958915,PHOT,False
ANT20258zj355b1djys,---,---,,0.508,292.09269515000005,56.58005425000003,17.715974807739258,0.0326969488814938,early_lightgbm_12_2024,svi,SN Ibc,10.132073219320697,WISEA J192821.48+563455.9,0.024764,SPEC,False
ANT2025p5sxhvynbko3,---,---,,0.506,212.5306946,-8.715098340807572,18.02653884887696,1.088657548680203,early_lightgbm_12_2024,svi,SN II,2.9781473177703783,WISEA J141007.49-084256.4,0.056052,SPEC,False
ANT20257jkmek8h4vst,2025bdr,SN Ia-91T-like,,0.628,154.96487789261178,55.431740135001306,16.479063034057617,0.2434858800988877,early_lightgbm_12_2024,svi,SN II,19.7004076039218,CGCG 266-037,0.032719,SPEC,False
ANT2025jrxkj96bk8e9,2025axg,---,,0.558,201.527237770847,24.726402031509608,17.996999740600586,15.100835479810485,early_lightgbm_12_2024,svi,SN II,3.329832619768745,WISEA J132606.75+244333.8,0.063758,SPEC,False
ANT2025vmj1ywpmh76x,2025bzq,---,,0.484,216.82039015,-0.9214662473490876,17.974319458007812,0.0743770799745107,early_lightgbm_12_2024,svi,SN II,1.4129220616267957,WISEA J142716.96-005516.4,0.053697,SPEC,False
ANT2025ywlyx3m6aa0j,2025bsi,---,,0.461,118.29861877004684,13.02886531608469,18.33703994750977,0.3519928800087655,early_lightgbm_12_2024,svi,SN II,13.174504967249806,WISEA J075312.26+130133.5,0.029937,SPEC,False
ANT2025kocrxv2ht9m4,2025bbe,SN Ia,0.026833,0.436,213.5369088,3.2246850689904107,16.443954467773438,4.127351679853746,early_lightgbm_12_2024,svi,SN II,2.296370626487924,CGCG 046-068,0.026833,SPEC,False
ANT2025eygcicaouoc4,2025brs,SN Ia,0.00952,0.855,94.74628896477648,-24.627511052401246,16.00680923461914,0.3564282446386642,early_lightgbm_12_2024,svi,SN Ibc,11.33639266290402,ESO 489- G 035,0.00909,SPEC,False
ANT20259s79g1qtyjf6,---,---,,0.586,231.71932641481305,-17.637895714770124,17.903291702270508,0.08427544499136275,early_lightgbm_12_2024,svi,SN II,,,,PHOT,False
